player_name,shots,fgm,points,expected_makes,fg_pct,efg_pct,expected_fg_pct,shot_quality_adjusted,fg_rank,efg_rank,adjusted_rank,rank_shift_vs_fg,rank_shift_vs_efg
pablo prigioni,174,71,187,61.820133,0.40804597701149425,0.5373563218390804,0.3552881218921179,0.05275785511937636,206.0,49.0,11.0,195.0,38.0
mo williams,559,233,548,203.72316,0.41681574239713776,0.49016100178890876,0.36444214631491784,0.05237359608221992,189.0,151.0,12.0,177.0,139.0
jose calderon,346,143,342,128.71974,0.41329479768786126,0.49421965317919075,0.37202237520603776,0.0412724224818235,197.0,127.0,21.0,176.0,106.0
channing frye,412,161,437,150.01735,0.3907766990291262,0.5303398058252428,0.3641197797164176,0.026656919312708582,232.0,59.0,58.0,174.0,1.0
nick young,473,174,431,168.85043,0.3678646934460888,0.45560253699788583,0.3569776603585822,0.010887033087506603,251.0,225.0,90.0,161.0,135.0
brian roberts,372,149,347,140.21098,0.40053763440860213,0.46639784946236557,0.37691124536657844,0.023626389042023688,221.0,205.0,63.0,158.0,142.0
time hardaway jr,595,231,557,221.26982,0.38823529411764707,0.4680672268907563,0.37188205238149946,0.016353241736147606,235.0,200.0,77.0,158.0,123.0
damjan rudez,195,83,210,75.01321,0.4256410256410256,0.5384615384615384,0.384683110163762,0.04095791547726363,173.0,47.0,22.0,151.0,25.0
travis wear,162,68,145,62.468655,0.41975308641975306,0.44753086419753085,0.38560897921338494,0.034144107206368124,183.0,235.0,32.0,151.0,203.0
wayne ellington,438,189,441,167.25076,0.4315068493150685,0.5034246575342466,0.3818510569393907,0.0496557923756778,164.0,99.0,14.0,150.0,85.0
caron butler,290,112,274,108.256805,0.38620689655172413,0.4724137931034483,0.37329932903421337,0.012907567517510765,236.0,193.0,87.0,149.0,106.0
ben gordon,255,111,252,94.60392,0.43529411764705883,0.49411764705882355,0.37099576463886336,0.06429835300819547,156.0,128.0,8.0,148.0,120.0
hollis thompson,344,139,350,132.6115,0.40406976744186046,0.5087209302325582,0.38549853480139445,0.018571232640466007,215.0,86.0,73.0,142.0,13.0
jamal crawford,803,322,759,309.4612,0.40099626400996263,0.4726027397260274,0.38538133519078843,0.0156149288191742,220.0,192.0,80.0,140.0,112.0
joe johnson,767,335,761,301.39993,0.4367666232073012,0.49608865710560623,0.39295949525596885,0.04380712795133235,153.0,122.0,16.0,137.0,106.0
jason terry,339,141,376,133.53844,0.415929203539823,0.5545722713864307,0.3939186928898184,0.02201051065000459,192.0,22.0,66.0,126.0,-44.0
rasual butler,407,177,429,163.65863,0.4348894348894349,0.527027027027027,0.4021096569314343,0.03277977795800058,158.0,64.0,36.0,122.0,28.0
lou williams,679,273,659,266.26996,0.4020618556701031,0.4852724594992636,0.3921501597880615,0.009911695882041605,217.0,162.0,96.0,121.0,66.0
jeremy lamb,224,94,225,88.80695,0.41964285714285715,0.5022321428571429,0.3964596135275705,0.023183243615286675,184.0,105.0,64.0,120.0,41.0
aaron brooks,561,233,555,223.95241,0.41532976827094475,0.4946524064171123,0.3992021530069769,0.01612761526396783,193.0,126.0,79.0,114.0,47.0
kobe bryant,713,266,586,267.53998,0.37307152875175315,0.4109396914446003,0.37523138573259995,-0.002159856980846808,249.0,259.0,136.0,113.0,123.0
donald sloan,338,139,318,135.40884,0.41124260355029585,0.47041420118343197,0.4006178816394693,0.010624721910826529,202.0,198.0,91.0,111.0,107.0
shabazz napier,207,79,197,79.158875,0.38164251207729466,0.4758454106280193,0.38241002179574274,-0.0007675097184480784,243.0,188.0,132.0,111.0,56.0
