SHOOTING_TEAM,shots,actual_makes,expected_makes,actual_fg_pct,expected_fg_pct,makes_above_expected,fg_pct_above_expected
LAC,4402,2045,1966.5337,0.46456156292594275,0.44673643,78.46630859375,0.017825137764581056
TOR,4189,1941,1884.4293,0.4633564096443065,0.44985184,56.5706787109375,0.01350456890982471
MIN,3885,1842,1792.5679,0.47413127413127415,0.46140742,49.43212890625,0.01272385111186497
BKN,4573,2109,2061.5403,0.46118521758145636,0.45080698,47.459716796875,0.010378242216771305
NYK,3713,1683,1646.6302,0.45327228656073254,0.44347703,36.3697509765625,0.009795251991945919
LAL,4645,2121,2087.7717,0.4566200215285253,0.44946647,33.228271484375,0.007153554624838798
CHA,4277,1906,1874.6344,0.44563946691606265,0.4383059,31.3656005859375,0.007333552514054598
WAS,4376,1999,1970.1802,0.45680987202925044,0.45022398,28.81982421875,0.006585889695113478
ORL,4543,2091,2073.2048,0.46026854501430775,0.4563515,17.795166015625,0.003917056185648693
PHX,4793,2165,2147.591,0.45170039641143334,0.44806823,17.408935546875,0.0036321650672103134
CLE,4003,1847,1830.1658,0.4614039470397202,0.45719853,16.834228515625,0.004205416604158074
HOU,3773,1736,1722.0023,0.4601113172541744,0.45640135,13.9976806640625,0.0037099691401607515
MEM,4164,1924,1912.1713,0.4620557156580211,0.45921502,11.8287353515625,0.0028407004850627415
POR,4206,1850,1846.101,0.439847836424156,0.43892083,3.8990478515625,0.0009270107043226061
MIL,4337,1953,1951.1172,0.45031127507493657,0.44987714,1.8828125,0.00043413216874760296
BOS,4168,1885,1885.4967,0.4522552783109405,0.45237446,-0.4967041015625,-0.00011918000204780288
ATL,4041,1839,1845.0964,0.4550853749072012,0.45659402,-6.096435546875,-0.001508645221048932
SAC,3989,1807,1813.1871,0.45299573828027073,0.45454678,-6.1871337890625,-0.001551041113879048
DAL,4574,2057,2070.4045,0.44971578487101005,0.45264637,-13.404541015625,-0.002930589831443564
MIA,4007,1784,1801.9093,0.44522086348889445,0.44969037,-17.9093017578125,-0.004469508262890831
UTA,4146,1879,1898.2966,0.45320791123974913,0.4578622,-19.296630859375,-0.004654287113064592
NOP,4111,1882,1904.617,0.45779615665288254,0.46329772,-22.616943359375,-0.0055015680709333825
DEN,4374,1962,1985.5823,0.448559670781893,0.45395115,-23.582275390625,-0.0053914793970162855
IND,4615,2025,2055.0962,0.4387865655471289,0.44530794,-30.09619140625,-0.006521374697545768
CHI,4233,1886,1916.2816,0.44554689345617765,0.4527006,-30.2816162109375,-0.0071536916706991804
GSW,4774,2132,2163.3354,0.446585672392124,0.45314944,-31.33544921875,-0.006563765512233921
OKC,4575,2042,2085.3108,0.44633879781420766,0.45580563,-43.310791015625,-0.009466831677598375
SAS,4603,2035,2088.0793,0.44210297631979145,0.45363444,-53.079345703125,-0.011531464579103812
DET,3848,1693,1754.922,0.43996881496881496,0.4560608,-61.9219970703125,-0.01609198200727452
PHI,4132,1785,1887.2833,0.4319941916747338,0.45674813,-102.2833251953125,-0.0247539362625831
